building_no,name,area,address,raw_address,display_address,management_company,management_phone,manager_name,manager_phone,active_users,total_households,ip,host,note,contract_status,monthly_revenue,building_type,service_level,public_facility_status,manager_age,manager_experience,manager_interest,visit_time,committee_time,resident_meeting_time,created_at,updated_at
B000,測試機,東區,,,,,,,,0,0,192.168.99.1:9000,,,,0,,,,,,,,,,2026-05-18 19:08:43,2026-05-18 19:08:43
B001,成大城,北區,台南市北區開元路501號,台南市北區開元路501號,台南市北區開元路501號,大成公寓大廈管理維護股份有限公司,063040297,林組長,0965538972,149,1247,218.161.7.242:9000,http://59.127.100.21:9000/,地下室設備間需借鑰,有效,74351,大樓,B,管理室反應訊號弱,30-39,1 年以內,公設線路,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B002,東橋真愛,北區,台南市永康區東橋七路191號,台南市永康區東橋七路191號,台南市永康區東橋七路191號,東橋物業管理服務有限公司,063152700,陳主任,0947704736,90,687,61.221.207.51:9000,http://114.33.178.131:9000/,線路整理中,續約中,80910,大樓,B,待線路整理,60+,1-3 年,續約,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B003,長榮新城,北區,台南市北區長榮路五段41巷46號,台南市北區長榮路五段41巷46號,台南市北區長榮路五段41巷46號,長榮新城公寓大廈管理維護股份有限公司,063048151,林組長,0962463139,244,1224,114.33.54.227:9000,http://125.229.86.90:9000/,管理室可代收單,有效,194712,大樓,C,管理室反應訊號弱,60+,1-3 年,TV 服務,13:30-17:30,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 21:32:37
B004,熱帶嶼,北區,台南市永康區勝學路260巷2號,台南市永康區勝學路260巷2號,台南市永康區勝學路260巷2號,熱帶嶼物業管理服務有限公司,063874336,林組長,0992527681,159,386,59.127.0.189:9000,http://125.229.205.65:9000/,線路整理中,有效,111141,國宅,C,正常,60+,1 年以內,公設線路,13:30-17:30,每月第三週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B005,大道一區,北區,台南市北區長榮路五段282-296號,台南市北區長榮路五段282-296號,台南市北區長榮路五段282-296號,大道新城第一區管理服務中心,062078478,林組長,0913680747,132,244,220.134.144.150:9000,http://59.127.28.171:9000/,地下室設備間需借鑰,有效,65868,社區,A,待線路整理,50-59,1 年以內,續約,09:00-12:00,每月第三週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B006,大道二區,北區,台南市北區北門路三段3-19號,台南市北區北門路三段3-19號,台南市北區北門路三段3-19號,大道新城第二區管理服務中心,062989336,陳主任,0976096879,109,335,220.134.144.146:9000,sw-b008,管理室可代收單,待議價,97991,大樓,A,待線路整理,40-49,3 年以上,TV 服務,09:00-12:00,每月第一週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B007,大道三區,北區,台南市北區北門路二段577巷1號,台南市北區北門路二段577巷1號,台南市北區北門路二段577巷1號,大道新城第三區管理服務中心,062377980,陳主任,0981218042,139,450,220.134.144.155:9000,http://220.130.243.157:9000/,管理室可代收單,有效,110922,大樓,C,管理室反應訊號弱,30-39,3 年以上,續約,13:30-17:30,每月第一週,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B008,大道五區,北區,台南市北區北門路二段576巷1號,台南市北區北門路二段576巷1號,台南市北區北門路二段576巷1號,大道新城第五區管理服務中心,062313935,林組長,0925158294,150,322,220.134.144.156:9000,http://122.117.213.79:9000/,管理室可代收單,待議價,119700,大樓,B,正常,30-39,1 年以內,網路升級,13:30-17:30,每月第一週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B009,大道十區,東區,台南市北區北門路二段527巷1號,台南市北區北門路二段527巷1號,台南市北區北門路二段527巷1號,大道新城第十區管理服務中心,063575600,陳主任,063725515,2,618,60.248.125.45:9000,http://220.134.144.189:9000/,需先電聯管委會,待議價,43338,社區,B,管理室反應訊號弱,50-59,1 年以內,公設線路,09:00-12:00,每月第三週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
