building_no,area,name,address_to_fill,source_note
B050,高雄,水森林,,
B051,高雄,流行城市,,
B052,高雄,世紀星鑽,,
B053,高雄,世紀星鑽I,,
B054,高雄,世紀星鑽II,,
B055,高雄,遠東新公園,,
B056,高雄,京城四季,,
B057,高雄,捷克,,
B058,高雄,林森路亞信大樓,,
B059,高雄,亞大樓,,
B060,高雄,科博爵士,,
B061,高雄,達麗宮廷,,
B062,高雄,達利宮廷,,
B063,高雄,香港風情畫,,
B064,高雄,未來玩城市,,
B065,高雄,未來完城市,,
B066,高雄,悅讀天詩,,
B067,高雄,閱讀天詩,,
B068,高雄,城中心,,
B069,高雄,城中星,,
B070,高雄,冠藝,,
B071,高雄,冠藝大樓,,
B072,高雄,高雄中正大樓,,
B073,高雄,中正大樓,,
B074,高雄,河歌山,,
B075,高雄,雅園,,
B076,高雄,快可易,,
B077,高雄,Happy 悅讀,,
B078,高雄,上新光,,
B079,高雄,華廈獎章,,
B080,高雄,華人匯,,
B081,高雄,最佳女主角,,
B082,高雄,女主角,,
B083,高雄,聯上i-home,,
B084,高雄,香頌,,
B085,高雄,沐林,,
B086,高雄,堅山三川,,
B087,高雄,MINE MINE,,
B088,高雄,柏克萊,,
B089,高雄,築夢世紀,,
B090,高雄,華友聯EVO,,
B091,高雄,芳崗博市館,,
B092,高雄,芳崗,,
B093,高雄,都會大亨,,
B094,高雄,悅讀ABC,,
B095,高雄,保泰逸居,,
B096,高雄,輕軌線上,,
B097,高雄,飛揚大樓,,
B098,高雄,飛揚,,
B099,高雄,合群孝區,,
B100,高雄,合群信區,,
B101,高雄,漢民傑座,,
B102,高雄,獅甲,,
B103,高雄,水舞間,,
B104,高雄,鳳凰時代,,
B105,高雄,H會館,,
B106,高雄,翰林雅苑,,
B107,高雄,太普D&G,,
B108,高雄,水丰林,,
B109,高雄,棋琴11重奏,,
B110,高雄,棋琴十一重奏,,
B111,高雄,交響苑,,
B112,高雄,微風京品,,
B113,高雄,鉑悅,,
B114,高雄,日森大地,,
B115,高雄,皇苑創世紀,,
B116,高雄,永信國,,
B117,高雄,高雄長明街大樓,,
B118,高雄,尊峰,,
B119,高雄,溫莎堡,,
B120,高雄,瑞祥瑞士區,,
B121,高雄,祥成,,
B122,高雄,宇宙國,,
B123,高雄,橋頭寶,,
B124,高雄,Super One,,
B125,高雄,國城MRT,,
B126,高雄,高鐵棧,,
B127,高雄,陽光新未來,,
B128,高雄,兩廳院,,
B129,高雄,河畔Happy,,
B130,高雄,小王子,,
B131,高雄,萬吉樂山,,
B132,高雄,海龍之星,,
B133,高雄,海森館,,
B134,高雄,金賀大樓,,
B135,高雄,松崗左岸,,
B136,高雄,左岸,,
B137,高雄,浪漫滿屋,,
B138,高雄,J時尚,,
B139,高雄,森霸二期,,
B140,高雄,明水漾,,
B141,高雄,翠華國宅,,
B142,高雄,可麗都,,
B143,高雄,文山.C,,
B144,高雄,芳崗澄品,,
B145,高雄,哲林,,
B146,高雄,遠見御踞,,
B147,高雄,海生館,,
