building_no,area,current_name,corrected_name,address,raw_address,display_address,active_users,total_households,ip,merge_to_building_no,delete_after_merge,note
B050,高雄,水森林,水森林,,,,0,0,,,,line_kaohsiung_seed_cl15c
B051,高雄,流行城市,流行城市,高雄市三民區大昌二路268號,高雄市三民區大昌二路268號,高雄市三民區大昌二路268號,0,0,,,,line_kaohsiung_seed_cl15c
B052,高雄,世紀星鑽,世紀星鑽,,,,0,0,,,,line_kaohsiung_seed_cl15c
B053,高雄,世紀星鑽I,世紀星鑽I,,,,0,0,,,,line_kaohsiung_seed_cl15c
B054,高雄,世紀星鑽II,世紀星鑽II,,,,0,0,,,,line_kaohsiung_seed_cl15c
B055,高雄,遠東新公園,遠東新公園,高雄市三民區建元路56號,高雄市三民區建元路56號,高雄市三民區建元路56號,0,0,,,,line_kaohsiung_seed_cl15c
B056,高雄,京城四季,京城四季,高雄市左營區介壽路221巷3號,高雄市左營區介壽路221巷3號,高雄市左營區介壽路221巷3號,0,0,,,,line_kaohsiung_seed_cl15c
B057,高雄,捷克,捷克,,,,0,0,,,,line_kaohsiung_seed_cl15c
B058,高雄,林森路亞信大樓,林森路亞信大樓,,,,0,0,,,,line_kaohsiung_seed_cl15c
B059,高雄,亞大樓,亞大樓,,,,0,0,,,,line_kaohsiung_seed_cl15c
B060,高雄,科博爵士,科博爵士,高雄市三民區九如一路510號,高雄市三民區九如一路510號,高雄市三民區九如一路510號,0,0,,,,line_kaohsiung_seed_cl15c
B061,高雄,達麗宮廷,達麗宮廷,,,,0,0,,,,line_kaohsiung_seed_cl15c
B062,高雄,達麗宮廷,達麗宮廷,,,,0,0,,,,line_kaohsiung_seed_cl15c
B063,高雄,香港風情畫,香港風情畫,,,,0,0,,,,line_kaohsiung_seed_cl15c
B064,高雄,未來玩城市,未來玩城市,,,,0,0,,,,line_kaohsiung_seed_cl15c
B065,高雄,未來玩城市,未來玩城市,,,,0,0,,,,line_kaohsiung_seed_cl15c
B066,高雄,閱讀天詩,閱讀天詩,,,,0,0,,,,line_kaohsiung_seed_cl15c
B067,高雄,閱讀天詩,閱讀天詩,,,,0,0,,,,line_kaohsiung_seed_cl15c
B068,高雄,城中星,城中星,,,,0,0,,,,line_kaohsiung_seed_cl15c
B069,高雄,城中星,城中星,高雄市楠梓區裕昌街161號,高雄市楠梓區裕昌街161號,高雄市楠梓區裕昌街161號,0,0,,,,line_kaohsiung_seed_cl15c
B070,高雄,冠藝大樓,冠藝大樓,高雄市楠梓區高雄大學路201號,高雄市楠梓區高雄大學路201號,高雄市楠梓區高雄大學路201號,0,0,,,,line_kaohsiung_seed_cl15c
B071,高雄,冠藝大樓,冠藝大樓,高雄市楠梓區高雄大學路201號,高雄市楠梓區高雄大學路201號,高雄市楠梓區高雄大學路201號,0,0,,,,line_kaohsiung_seed_cl15c
B072,高雄,中正大樓,中正大樓,高雄市新興區中正四路53號,高雄市新興區中正四路53號,高雄市新興區中正四路53號,0,0,,,,line_kaohsiung_seed_cl15c
B073,高雄,中正大樓,中正大樓,高雄市新興區中正四路53號,高雄市新興區中正四路53號,高雄市新興區中正四路53號,0,0,,,,line_kaohsiung_seed_cl15c
B074,高雄,河歌山,河歌山,,,,0,0,,,,line_kaohsiung_seed_cl15c
B075,高雄,雅園,雅園,,,,0,0,,,,line_kaohsiung_seed_cl15c
B076,高雄,快可易,快可易,,,,0,0,,,,line_kaohsiung_seed_cl15c
B077,高雄,Happy 悅讀,Happy 悅讀,,,,0,0,,,,line_kaohsiung_seed_cl15c
B078,高雄,上新光,上新光,,,,0,0,,,,line_kaohsiung_seed_cl15c
B079,高雄,華廈獎章,華廈獎章,,,,0,0,,,,line_kaohsiung_seed_cl15c
B080,高雄,華人匯,華人匯,,,,0,0,,,,line_kaohsiung_seed_cl15c
B081,高雄,最佳女主角,最佳女主角,,,,0,0,,,,line_kaohsiung_seed_cl15c
B082,高雄,最佳女主角,最佳女主角,,,,0,0,,,,line_kaohsiung_seed_cl15c
B083,高雄,聯上i-home,聯上i-home,,,,0,0,,,,line_kaohsiung_seed_cl15c
B084,高雄,香頌,香頌,,,,0,0,,,,line_kaohsiung_seed_cl15c
B085,高雄,沐林,沐林,,,,0,0,,,,line_kaohsiung_seed_cl15c
B086,高雄,堅山三川,堅山三川,,,,0,0,,,,line_kaohsiung_seed_cl15c
B087,高雄,MINE MINE,MINE MINE,,,,0,0,,,,line_kaohsiung_seed_cl15c
B088,高雄,柏克萊,柏克萊,,,,0,0,,,,line_kaohsiung_seed_cl15c
B089,高雄,築夢世紀,築夢世紀,,,,0,0,,,,line_kaohsiung_seed_cl15c
B090,高雄,華友聯EVO,華友聯EVO,,,,0,0,,,,line_kaohsiung_seed_cl15c
B091,高雄,芳崗博市館,芳崗博市館,,,,0,0,,,,line_kaohsiung_seed_cl15c
B092,高雄,芳崗澄品,芳崗澄品,,,,0,0,,,,line_kaohsiung_seed_cl15c
B093,高雄,都會大亨,都會大亨,,,,0,0,,,,line_kaohsiung_seed_cl15c
B094,高雄,悅讀ABC,悅讀ABC,,,,0,0,,,,line_kaohsiung_seed_cl15c
B095,高雄,保泰逸居,保泰逸居,,,,0,0,,,,line_kaohsiung_seed_cl15c
