table,id,name,current_address,verified_address,source_note
buildings,13,世紀之門,,,
buildings,43,中華北路社區,,,
buildings,23,北府苑,,,
buildings,22,夢公園,,,
buildings,20,大時代,,,
buildings,7,大道新城一區,,,
buildings,9,大道新城三區,,,
buildings,8,大道新城二區,,,
buildings,10,大道新城五區,,,
buildings,11,大道新城十區,,,
buildings,27,天闕大樓,,,
buildings,39,皇政首席鍗𨰦,,,
buildings,40,府平公園,,,
buildings,16,新好國宅,,,
buildings,24,春福學學,,,
buildings,19,晶采大樓,,,
buildings,17,東方公園,,,
buildings,26,東興華廈,,,
buildings,28,果貿二村,,,
buildings,14,永龍V&A,,,
buildings,25,綠海都心,,,
buildings,18,翡翠大郡,,,
buildings,32,荷蘭e-home,,,
buildings,12,力漢開元寶,,,
