building_name,device_id,community,device_no,model,serial,routeros_version,management_ip,management_port,management_url,circuit_no,bandwidth,uptime,checked_at,class_name,form_id
中正大樓,291,中正大樓,shinnan-724,RB4011iGS+,B8F30AE4A123,,59.127.179.135,9000,http://59.127.179.135:9000/,,,,115/05/17 18:59:01,SF_4,291
大林國宅,159,大林國宅,shinnan-079,RB5009UG+S+,HEA08VET64G,7.18.2,220.134.145.186,9000,http://220.134.145.186:9000/,6Y273994,500M/500M,15:59:48,115/05/17 18:59:01,SF_1,159
沐提斯,356,沐提斯,shinnan-769,RB450Gx4,HG609REV1RT,6.49.18,59.127.135.3,9000,http://59.127.135.3:9000/,72Y504879,300M/300M,1天 05:30:00,115/05/17 18:59:01,SF_1,356
東都綠學,346,東都綠學,shinnan-x24,RB450Gx4,HFA09FSY3K5,6.49.13,220.135.163.237,9000,http://220.135.163.237:9000/,6Y478189,500M/500M,1天 09:25:46,115/05/17 18:59:01,SF_1,346
大道一區,220,大道一區,shinnan-177,RB450Gx4,E1D80FE7ABD1,6.49.18,220.134.144.150,9000,http://220.134.144.150:9000/,6Y177939,300M/300M,1天 16:01:47,115/05/17 18:59:01,SF_1,220
成大會館,156,成大會館,shinnan-201,RB450Gx4,HCW0879XQ85,6.49.19,122.117.199.172,9000,http://122.117.199.172:9000/,6Y426339,300M/300M,2天 02:51:50,115/05/17 18:59:01,SF_1,156
長億城,53,長億城,shinnan-027,RB5009UG+S+,HEH08SYS4FK,7.16.1,122.117.161.121,9000,http://122.117.161.121:9000/,6Y489618,500M/500M,3天 03:17:38,115/05/17 18:59:01,SF_1,53
大任之翼,19,大任之翼,shinnan-x22,RB750Gr3,C55D0B841F32,6.49.13,122.117.201.213,9000,http://122.117.201.213:9000/,6583Y035655,500M/500M,3天 03:13:53,115/05/17 18:59:01,SF_1,19
和發幸福成,82,和發幸福成,shinnan-x20,RB750Gr3,CC220DE36F2F,6.49.13,122.117.160.213,9000,http://122.117.160.213:9000/,6Y477993,500M/500M,3天 03:36:40,115/05/17 18:59:01,SF_1,82
園中園,406,園中園,shinnan-115,RB5009UG+S+,HH00A0KB73P,7.15.2,122.117.163.21,9000,http://122.117.163.21:9000/,6Y104172,300M/300M,3天 06:10:36,115/05/17 18:59:01,SF_1,406
佳展大展,357,佳展大展,shinnan-343,RB450Gx4,HG609M03D8W,6.49.13,114.33.176.232,9000,http://114.33.176.232:9000/,6Y466727,500M/500M,3天 09:17:44,115/05/17 18:59:01,SF_1,357
好事House,293,好事House,shinnan-319,RB750Gr3,D5030D75BDDB,6.49.19,59.127.30.248,9000,http://59.127.30.248:9000/,6Y451449,300M/300M,3天 15:51:59,115/05/17 18:59:01,SF_1,293
知音悅,248,知音悅,shinnan-287,RB750Gr3,CC210FC97016,6.49.13,220.134.148.40,9000,http://220.134.148.40:9000/,6Y328383,500M/500M,4天 00:15:42,115/05/17 18:59:01,SF_1,248
鄉城大鎮,384,鄉城大鎮,shinnan-022,RB5009UG+S+,HG309DWPBVW,7.12.1,114.33.172.179,9000,http://114.33.172.179:9000/,6Y130734,500M/500M,4天 03:29:59,115/05/17 18:59:01,SF_1,384
相對論,160,相對論,shinnan-166,RB750Gr3,8B000A674706,6.47.10,59.127.100.209,9000,http://59.127.100.209:9000/,6Y139290,300M/300M,4天 06:17:16,115/05/17 18:59:01,SF_1,160
二空新城_a,410,二空新城,shinnan-194_a,RB5009UG+S+,HH00AB3CDXY,7.15.2,125.227.245.49,9000,http://125.227.245.49:9000/,,,4天 07:46:21,115/05/17 18:59:01,SF_1,410
兩廳院,52,兩廳院,shinnan-795,RB450Gx4,E1D80DBB642D,6.49.19,220.135.240.150,9000,http://220.135.240.150:9000/,77Y164351,500M/500M,5天 01:06:25,115/05/17 18:59:01,SF_1,52
長谷畫時代,243,長谷畫時代,shinnan-151,RB450Gx4,E1D80DA34DF5,6.49.18,220.134.144.134,9000,http://220.134.144.134:9000/,6Y371340,500M/500M,5天 03:16:51,115/05/17 18:59:01,SF_1,243
空中別墅,216,空中別墅,shinnan-049,RB450Gx4,E1D80FD5B1B0,7.18.2,61.221.6.213,9000,http://61.221.6.213:9000/,,,5天 07:27:11,115/05/17 18:59:01,SF_1,216
和美二期,387,和美二期,shinnan-139,RB450Gx4,HF209AM7HY3,6.49.18,122.117.182.53,9000,http://122.117.182.53:9000/,6Y074039,500M/500M,5天 08:05:33,115/05/17 18:59:01,SF_1,387
MY 鑫光,287,MY 鑫光,shinnan-304,RB750Gr3,6F3907ADDFA5,7.14.3,220.134.145.27,9000,http://220.134.145.27:9000/,6Y448546,300M/300M,5天 21:00:44,115/05/17 18:59:01,SF_1,287
輕軌線上,152,輕軌線上,shinnan-777,RB450Gx4,B8D00A24AA91,6.49.13,218.161.107.30,9000,http://218.161.107.30:9000/,72Y523073,500M/500M,5天 21:09:36,115/05/17 18:59:01,SF_1,152
成大城,414,成大城,shinnan-212,RB5009UG+S+,HJ80A9HN54D,7.18.2,218.161.7.242,9000,http://218.161.7.242:9000/,6Y321575,1G/600M,6天 00:36:37,115/05/17 18:59:01,SF_1,414
成大城_de,413,成大城,shinnan-212_de,RB5009UG+S+,HJ80AA3A7BE,7.16.2,220.134.38.52,9000,http://220.134.38.52:9000/,6Y304287,1G/600M,6天 00:37:55,115/05/17 18:59:01,SF_1,413
夢公園,335,夢公園,shinnan-217,RB5009UG+S+,HFA0976M6GY,7.12.1,122.117.201.188,9000,http://122.117.201.188:9000/,6Y308762,500M/500M,6天 01:36:44,115/05/17 18:59:01,SF_1,335
和美一期,393,和美一期,shinnan-078,RB5009UG+S+,HG409YG1XGE,7.12.1,211.22.246.153,9000,http://211.22.246.153:9000/,,,6天 04:32:34,115/05/17 18:59:01,SF_1,393
果貿新城,114,果貿新城,shinnan-164,RB450Gx4,B8D00A9A8B4E,6.49.18,220.133.112.133,9000,http://220.133.112.133:9000/,6Y413424,300M/300M,8天 20:35:50,115/05/17 18:59:01,SF_1,114
大學城_2,308,大學城,shinnan-097_2,RB750Gr3,D5030EEBCEA8,6.49.10,220.134.145.176,9000,http://220.134.145.176:9000/,6Y129421,300M/300M,9天 08:58:45,115/05/17 18:59:01,SF_1,308
大學城,51,大學城,shinnan-097,RB450Gx4,HCW088AHHZM,6.49.13,220.134.145.207,9000,http://220.134.145.207:9000/,6Y457100,500M/500M,9天 09:37:41,115/05/17 18:59:01,SF_1,51
摩登大廈,188,摩登大廈,shinnan-047,RB5009UG+S+,HEH08VCP4JH,7.18.1,122.117.170.50,9000,http://122.117.170.50:9000/,6Y489523,500M/500M,9天 14:55:58,115/05/17 18:59:01,SF_1,188
正德,371,正德,shinnan-916,RB3011UiAS,7616065820FD,6.49.19,220.134.145.179,58000,http://220.134.145.179:58000/,6Y008354,100M/40M,10天 04:05:11,115/05/17 18:59:01,SF_1,371
悅讀泰郡,155,悅讀泰郡,shinnan-787,RB750Gr3,8B000ACB7F12,6.48.6,220.132.27.170,9000,http://220.132.27.170:9000/,72Y571830,300M/300M,10天 07:35:35,115/05/17 18:59:01,SF_1,155
佳順寓安,273,佳順寓安,shinnan-x37,RB450Gx4,E1D80EE53914,6.49.13,220.135.45.158,9000,http://220.135.45.158:9000/,6Y485179,500M/500M,11天 00:37:08,115/05/17 18:59:01,SF_1,273
永龍1,398,永龍1,shinnan-228,RB5009UG+S+,HG409N8VF72,7.12.1,114.33.172.201,9000,http://114.33.172.201:9000/,6Y377483,500M/500M,12天 02:28:15,115/05/17 18:59:01,SF_1,398
福容ONE,107,福容ONE,shinnan-271,RB450Gx4,E1D80E28CDFC,6.49.13,220.134.144.135,9000,http://220.134.144.135:9000/,6Y376110,500M/500M,12天 03:15:27,115/05/17 18:59:01,SF_1,107
林森之愛,330,林森之愛,shinnan-112,RB450Gx4,HD5088ZG1RF,6.49.13,220.135.188.215,9000,http://220.135.188.215:9000/,6Y039384,500M/500M,12天 04:32:19,115/05/17 18:59:01,SF_1,330
公園麗緻,286,公園麗緻,shinnan-143,RB750Gr3,D5030EFC05C4,6.49.13,114.33.182.229,9000,http://114.33.182.229:9000/,6Y081849,300M/300M,12天 10:38:50,115/05/17 18:59:01,SF_1,286
上河院,11,上河院,shinnan-032,RB450Gx4,HCW08BGNNWE,6.48.7,220.134.144.189,9000,http://220.134.144.189:9000/,6Y090854,300M/300M,13天 05:23:06,115/05/17 18:59:01,SF_1,11
太學樓,252,太學樓,shinnan-308,RB750Gr3,D5030E2AC6A1,6.49.18,220.134.145.24,9000,http://220.134.145.24:9000/,6Y450687,500M/500M,13天 09:42:26,115/05/17 18:59:01,SF_1,252
鄉景御品,250,鄉景御品,shinnan-x42,RB750Gr3,D5030E9EA805,6.49.13,220.132.66.219,9000,http://220.132.66.219:9000/,6583Y038783,500M/500M,14天 10:13:02,115/05/17 18:59:01,SF_1,250
好漾2,305,好漾2,shinnan-328,RB750Gr3,CC220DF3ACB0,6.49.18,114.35.230.246,9000,http://114.35.230.246:9000/,6583Y033757,300M/300M,14天 10:14:01,115/05/17 18:59:01,SF_1,305
尚暘天喆,272,尚暘天喆,shinnan-322,RB750Gr3,CC220E60401E,6.49.18,220.132.246.208,9000,http://220.132.246.208:9000/,6598Y035870,300M/300M,15天 08:59:38,115/05/17 18:59:01,SF_1,272
影三華廈,418,影三華廈,shinnan-138,RB5009UG+S+,HJ80A0H4XPZ,7.16.2,122.117.161.104,9000,http://122.117.161.104:9000/,6Y489538,500M/500M,16天 03:17:50,115/05/17 18:59:01,SF_1,418
荷蘭湖美,202,荷蘭湖美,shinnan-036,RB450Gx4,HEA08PNC06M,6.49.19,220.134.144.211,9000,http://220.134.144.211:9000/,6Y132454,300M/300M,16天 22:32:17,115/05/17 18:59:01,SF_1,202
攬翠華廈,47,攬翠華廈,shinnan-072,RB750Gr3,D5030E7024BB,6.49.19,122.117.12.196,9000,http://122.117.12.196:9000/,6Y452794,500M/500M,17天 01:12:41,115/05/17 18:59:01,SF_1,47
日光行館5,74,日光行館5,shinnan-283,RB750Gr3,CC220D8052BE,6.49.19,125.229.205.190,9000,http://125.229.205.190:9000/,6583Y030371,300M/300M,18天 00:54:42,115/05/17 18:59:01,SF_1,74
都會假期,50,都會假期,shinnan-146,RB450Gx4,E1D80F1D6979,6.49.19,114.33.156.50,9000,http://114.33.156.50:9000/,6Y392416,500M/500M,18天 01:04:40,115/05/17 18:59:01,SF_1,50
東橋真愛_d,382,東橋真愛,shinnan-231_d,RB5009UG+S+,HG309F92YH0,7.12.1,36.237.88.8,9000,http://36.237.88.8:9000/,6Y489654,500M/500M,18天 03:29:16,115/05/17 18:59:01,SF_1,382
二空新城_c,14,二空新城,shinnan-194_c,RB450Gx4,B8D00AF04A48,6.49.19,220.133.6.55,9000,http://220.133.6.55:9000/,6Y047887,300M/300M,18天 04:08:22,115/05/17 18:59:01,SF_1,14
湖美天河,149,湖美天河,shinnan-198,RB450Gx4,HD508E938KE,6.48.7,220.133.69.68,9000,http://220.133.69.68:9000/,6Y253105,300M/300M,18天 07:30:12,115/05/17 18:59:01,SF_1,149
新源邸,395,新源邸,shinnan-262,RB450Gx4,HF20926YYP7,6.49.13,220.134.144.133,9000,http://220.134.144.133:9000/,6Y418780,300M/300M,18天 08:25:43,115/05/17 18:59:01,SF_1,395
世紀星鑽一心,24,世紀星鑽一心,shinnan-712,RB750Gr3,D5030F489A76,6.49.19,220.134.182.12,9000,http://220.134.182.12:9000/,72Y146702,100M/40M,18天 13:57:51,115/05/17 18:59:01,SF_1,24
鄉景康品,211,鄉景康品,shinnan-314,RB750Gr3,D5030F08D459,6.49.19,122.117.199.64,9000,http://122.117.199.64:9000/,6Y452056,300M/300M,18天 21:38:32,115/05/17 18:59:01,SF_1,211
